,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,Home Points,Away Points,home_turnovers_won,away_turnovers_won,home_clean_breaks,away_clean_breaks,home_penalties_conceded,away_penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin,Turnover,penalties_conceded
0,-3.0,2022-03-12,Worcester_Warriors,Exeter_Chiefs,9.0,,,,,,,,,,,,,,,,
1,-3.0,2022-03-12,Leicester_Tigers,London_Irish,-5.5,,,,,,,,,,,,,,,,
2,-3.0,2022-03-12,Newcastle_Falcons,Saracens,10.0,,,,,,,,,,,,,,,,
3,-3.0,2022-03-12,Sale_Sharks,Gloucester_Rugby,-8.5,,,,,,,,,,,,,,,,
4,-3.0,2022-03-13,Bristol_Bears,Harlequins,0.5,,,,,,,,,,,,,,,,
5,-3.0,2022-03-13,Northampton_Saints,Wasps,-0.5,,,,,,,,,,,,,,,,
6,-3.0,2022-03-25,Gloucester_Rugby,Worcester_Warriors,-17.0,,,,,,,,,,,,,,,,
7,-3.0,2022-03-26,Bath_Rugby,Sale_Sharks,5.0,,,,,,,,,,,,,,,,
8,-3.0,2022-03-26,London_Irish,Northampton_Saints,-3.5,,,,,,,,,,,,,,,,
9,-3.0,2022-03-26,Saracens,Bristol_Bears,-20.0,,,,,,,,,,,,,,,,
10,-3.0,2022-03-26,Wasps,Newcastle_Falcons,-19.5,,,,,,,,,,,,,,,,
11,-3.0,2022-03-27,Exeter_Chiefs,Leicester_Tigers,0.0,,,,,,,,,,,,,,,,
12,-2.0,2022-04-01,Sale_Sharks,Saracens,2.5,,,,,,,,,,,,,,,,
13,-2.0,2022-04-02,Exeter_Chiefs,Bath_Rugby,-13.5,,,,,,,,,,,,,,,,
14,-2.0,2022-04-02,Gloucester_Rugby,Wasps,-4.0,,,,,,,,,,,,,,,,
15,-2.0,2022-04-02,Northampton_Saints,Bristol_Bears,-4.5,,,,,,,,,,,,,,,,
16,-2.0,2022-04-02,Worcester_Warriors,Newcastle_Falcons,-3.5,,,,,,,,,,,,,,,,
17,-2.0,2022-04-03,London_Irish,Harlequins,3.5,,,,,,,,,,,,,,,,
18,-2.0,2022-04-22,Newcastle_Falcons,London_Irish,3.5,,,,,,,,,,,,,,0.0,0.0,0.0
19,-2.0,2022-04-22,Bristol_Bears,Gloucester_Rugby,0.5,,,,,,,,,,,,,,0.0,0.0,0.0
20,-2.0,2022-04-23,Bath_Rugby,Northampton_Saints,0.5,,,,,,,,,,,,,,0.0,0.0,0.0
21,-2.0,2022-04-23,Harlequins,Leicester_Tigers,-4.5,,,,,,,,,,,,,,0.0,0.0,0.0
22,-2.0,2022-04-23,Wasps,Worcester_Warriors,-19.5,,,,,,,,,,,,,,0.0,0.0,0.0
23,-2.0,2022-04-24,Saracens,Exeter_Chiefs,-11.0,,,,,,,,,,,,,,0.0,0.0,0.0
24,-1.0,2022-04-29,Northampton_Saints,Harlequins,2.0,,,,,,,,,,,,,,0.0,0.0,0.0
25,-1.0,2022-04-29,Sale_Sharks,Newcastle_Falcons,-17.0,,,,,,,,,,,,,,0.0,0.0,0.0
26,-1.0,2022-04-30,Gloucester_Rugby,Bath_Rugby,-11.0,,,,,,,,,,,,,,0.0,0.0,0.0
27,-1.0,2022-04-30,Leicester_Tigers,Bristol_Bears,-13.5,,,,,,,,,,,,,,0.0,0.0,0.0
28,-1.0,2022-04-30,Worcester_Warriors,Saracens,22.0,,,,,,,,,,,,,,0.0,0.0,0.0
29,-1.0,2022-05-01,London_Irish,Wasps,0.5,,,,,,,,,,,,,,0.0,0.0,0.0
30,-1.0,2022-05-20,Bristol_Bears,Exeter_Chiefs,6.5,,,,,,,,,,,,,,0.0,0.0,0.0
31,-1.0,2022-05-20,Wasps,Sale_Sharks,-2.5,,,,,,,,,,,,,,0.0,0.0,0.0
32,-1.0,2022-05-21,Bath_Rugby,London_Irish,-2.0,,,,,,,,,,,,,,0.0,0.0,0.0
33,-1.0,2022-05-21,Harlequins,Gloucester_Rugby,-6.0,,,,,,,,,,,,,,0.0,0.0,0.0
34,-1.0,2022-05-21,Newcastle_Falcons,Leicester_Tigers,8.5,,,,,,,,,,,,,,0.0,0.0,0.0
35,-1.0,2022-05-22,Saracens,Northampton_Saints,-11.5,,,,,,,,,,,,,,0.0,0.0,0.0
36,0.0,2022-06-04,Exeter_Chiefs,Harlequins,-2.0,,,,47.0,38.0,3.0,9.0,,,4.0,6.0,0.0,1.0,-1.0,6.0,-2.0
37,0.0,2022-06-04,Gloucester_Rugby,Saracens,-8.0,,,,54.0,7.0,10.0,6.0,,,5.0,9.0,0.0,1.0,-1.0,-4.0,-4.0
38,0.0,2022-06-04,Leicester_Tigers,Wasps,-9.5,,,,20.0,10.0,7.0,3.0,,,6.0,11.0,0.0,0.0,0.0,-4.0,-5.0
39,0.0,2022-06-04,Northampton_Saints,Newcastle_Falcons,-20.0,,,,65.0,26.0,5.0,4.0,,,14.0,7.0,1.0,3.0,-2.0,-1.0,7.0
40,0.0,2022-06-04,Sale_Sharks,Bristol_Bears,-10.5,,,,42.0,19.0,8.0,5.0,,,14.0,16.0,0.0,0.0,0.0,-3.0,-2.0
41,0.0,2022-06-04,Worcester_Warriors,Bath_Rugby,0.0,,,,43.0,27.0,4.0,5.0,,,13.0,10.0,1.0,1.0,0.0,1.0,3.0
42,0.0,2022-06-11,Saracens,Harlequins,-7.0,,,,34.0,17.0,2.0,3.0,,,12.0,11.0,3.0,1.0,2.0,1.0,1.0
43,0.0,2022-06-11,Leicester_Tigers,Northampton_Saints,-10.0,,,,27.0,14.0,7.0,6.0,,,10.0,12.0,1.0,1.0,0.0,-1.0,-2.0
44,0.0,2022-06-18,Leicester_Tigers,Saracens,4.5,,,,15.0,12.0,,,,,,,,,0.0,0.0,0.0
45,1.0,2022-09-09,Bristol_Bears,Bath_Rugby,-10.5,-7.5,-8.5,-8.5,31.0,29.0,16.0,10.0,5.0,2.0,12.0,9.0,1.0,1.0,0.0,-6.0,3.0
46,1.0,2022-09-09,Sale_Sharks,Northampton_Saints,-7.5,-7.5,-7.5,-7.5,29.0,22.0,14.0,18.0,10.0,9.0,12.0,10.0,0.0,1.0,-1.0,4.0,2.0
47,1.0,2022-09-10,Exeter_Chiefs,Leicester_Tigers,1.5,-1.5,-1.5,-1.5,24.0,20.0,13.0,13.0,4.0,3.0,11.0,12.0,1.0,1.0,0.0,0.0,-1.0
48,1.0,2022-09-10,London_Irish,Worcester_Warriors,-15.5,-4.5,-4.5,-4.5,45.0,14.0,20.0,10.0,8.0,4.0,4.0,15.0,0.0,0.0,0.0,-10.0,-11.0
49,1.0,2022-09-10,Newcastle_Falcons,Harlequins,7.5,5.5,6.5,6.5,31.0,40.0,10.0,13.0,2.0,4.0,15.0,8.0,0.0,0.0,0.0,3.0,7.0
50,1.0,2022-09-11,Gloucester_Rugby,Wasps,-7.5,-8.5,-8.5,-8.5,27.0,21.0,12.0,11.0,2.0,4.0,8.0,15.0,0.0,2.0,-2.0,-1.0,-7.0
51,2.0,2022-09-16,Northampton_Saints,London_Irish,-6.5,-7.5,-6.5,-6.5,,,,,,,,,,,0.0,0.0,0.0
52,2.0,2022-09-17,Bath_Rugby,Sale_Sharks,3.5,2.5,2.5,2.5,,,,,,,,,,,0.0,0.0,0.0
53,2.0,2022-09-17,Harlequins,Saracens,5.5,-1.5,-1.5,-1.5,,,,,,,,,,,0.0,0.0,0.0
54,2.0,2022-09-17,Leicester_Tigers,Newcastle_Falcons,-17.5,-17.5,-17.5,-17.5,,,,,,,,,,,0.0,0.0,0.0
55,2.0,2022-09-17,Wasps,Bristol_Bears,-3.5,-2.5,-2.5,-2.5,,,,,,,,,,,0.0,0.0,0.0
56,2.0,2022-09-18,Worcester_Warriors,Exeter_Chiefs,16.5,16.5,,,,,,,,,,,,,0.0,0.0,0.0
57,3.0,2022-09-23,Bath_Rugby,Wasps,6.5,,,,,,,,,,,,,,0.0,0.0,0.0
58,3.0,2022-09-24,Bristol_Bears,London_Irish,-2.5,,,,,,,,,,,,,,0.0,0.0,0.0
59,3.0,2022-09-24,Northampton_Saints,Leicester_Tigers,-2.0,,,,,,,,,,,,,,0.0,0.0,0.0
60,3.0,2022-09-24,Saracens,Gloucester_Rugby,-6.0,,,,,,,,,,,,,,0.0,0.0,0.0
61,3.0,2022-09-24,Worcester_Warriors,Newcastle_Falcons,8.5,,,,,,,,,,,,,,0.0,0.0,0.0
62,3.0,2022-09-25,Exeter_Chiefs,Harlequins,-11.5,,,,,,,,,,,,,,0.0,0.0,0.0
63,4.0,2022-09-30,Newcastle_Falcons,Bristol_Bears,-2.0,,,,,,,,,,,,,,0.0,0.0,0.0
64,4.0,2022-10-01,Gloucester_Rugby,Worcester_Warriors,-8.0,,,,,,,,,,,,,,0.0,0.0,0.0
65,4.0,2022-10-01,London_Irish,Bath_Rugby,-9.5,,,,,,,,,,,,,,0.0,0.0,0.0
66,4.0,2022-10-01,Sale_Sharks,Exeter_Chiefs,-20.0,,,,,,,,,,,,,,0.0,0.0,0.0
67,4.0,2022-10-01,Saracens,Leicester_Tigers,-10.5,,,,,,,,,,,,,,0.0,0.0,0.0
68,4.0,2022-10-02,Harlequins,Northampton_Saints,0.0,,,,,,,,,,,,,,0.0,0.0,0.0
69,5.0,,Bristol_Bears,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
70,5.0,,Sale_Sharks,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
71,5.0,,Exeter_Chiefs,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
72,5.0,,London_Irish,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
73,5.0,,Newcastle_Falcons,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
74,5.0,,Gloucester_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
75,6.0,,Northampton_Saints,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
76,6.0,,Bath_Rugby,Sale_Sharks,,,,,,,,,,,,,,,0.0,0.0,0.0
77,6.0,,Harlequins,Saracens,,,,,,,,,,,,,,,0.0,0.0,0.0
78,6.0,,Leicester_Tigers,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
79,6.0,,Wasps,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
80,6.0,,Worcester_Warriors,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
81,7.0,,Bath_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
82,7.0,,Bristol_Bears,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
83,7.0,,Northampton_Saints,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
84,7.0,,Saracens,Gloucester_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
85,7.0,,Worcester_Warriors,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
86,7.0,,Exeter_Chiefs,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
87,8.0,,Newcastle_Falcons,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
88,8.0,,Gloucester_Rugby,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
89,8.0,,London_Irish,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
90,8.0,,Sale_Sharks,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
91,8.0,,Saracens,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
92,8.0,,Harlequins,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
93,9.0,,Bristol_Bears,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
94,9.0,,Sale_Sharks,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
95,9.0,,Exeter_Chiefs,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
96,9.0,,London_Irish,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
97,9.0,,Newcastle_Falcons,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
98,9.0,,Gloucester_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
99,10.0,,Northampton_Saints,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
100,10.0,,Bath_Rugby,Sale_Sharks,,,,,,,,,,,,,,,0.0,0.0,0.0
101,10.0,,Harlequins,Saracens,,,,,,,,,,,,,,,0.0,0.0,0.0
102,10.0,,Leicester_Tigers,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
103,10.0,,Wasps,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
104,10.0,,Worcester_Warriors,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
105,11.0,,Bath_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
106,11.0,,Bristol_Bears,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
107,11.0,,Northampton_Saints,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
108,11.0,,Saracens,Gloucester_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
109,11.0,,Worcester_Warriors,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
110,12.0,,Exeter_Chiefs,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
111,12.0,,Newcastle_Falcons,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
112,12.0,,Gloucester_Rugby,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
113,12.0,,London_Irish,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
114,12.0,,Sale_Sharks,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
115,13.0,,Saracens,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
116,13.0,,Harlequins,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
117,13.0,,Bristol_Bears,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
118,13.0,,Sale_Sharks,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
119,13.0,,Exeter_Chiefs,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
120,13.0,,London_Irish,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
121,14.0,,Newcastle_Falcons,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
122,14.0,,Gloucester_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
123,14.0,,Northampton_Saints,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
124,14.0,,Bath_Rugby,Sale_Sharks,,,,,,,,,,,,,,,0.0,0.0,0.0
125,14.0,,Harlequins,Saracens,,,,,,,,,,,,,,,0.0,0.0,0.0
126,14.0,,Leicester_Tigers,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
127,15.0,,Wasps,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
128,15.0,,Worcester_Warriors,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
129,15.0,,Bath_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
130,15.0,,Bristol_Bears,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
131,15.0,,Northampton_Saints,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
132,15.0,,Saracens,Gloucester_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
133,16.0,,Worcester_Warriors,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
134,16.0,,Exeter_Chiefs,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
135,16.0,,Newcastle_Falcons,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
136,16.0,,Gloucester_Rugby,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
137,16.0,,London_Irish,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
138,16.0,,Sale_Sharks,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
139,17.0,,Saracens,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
140,17.0,,Harlequins,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
141,17.0,,Bristol_Bears,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
142,17.0,,Sale_Sharks,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
143,17.0,,Exeter_Chiefs,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
144,17.0,,London_Irish,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
145,18.0,,Newcastle_Falcons,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
146,18.0,,Gloucester_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
147,18.0,,Northampton_Saints,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
148,18.0,,Bath_Rugby,Sale_Sharks,,,,,,,,,,,,,,,0.0,0.0,0.0
149,18.0,,Harlequins,Saracens,,,,,,,,,,,,,,,0.0,0.0,0.0
150,18.0,,Leicester_Tigers,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
151,19.0,,Wasps,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
152,19.0,,Worcester_Warriors,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
153,19.0,,Bath_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
154,19.0,,Bristol_Bears,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
155,19.0,,Northampton_Saints,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
156,19.0,,Saracens,Gloucester_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
157,20.0,,Worcester_Warriors,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
158,20.0,,Exeter_Chiefs,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
159,20.0,,Newcastle_Falcons,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
160,20.0,,Gloucester_Rugby,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
161,20.0,,London_Irish,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
162,20.0,,Sale_Sharks,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
163,21.0,,Saracens,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
164,21.0,,Harlequins,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
165,21.0,,Bristol_Bears,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
166,21.0,,Sale_Sharks,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
167,21.0,,Exeter_Chiefs,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
168,21.0,,London_Irish,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
169,22.0,,Newcastle_Falcons,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
170,22.0,,Gloucester_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
171,22.0,,Northampton_Saints,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
172,22.0,,Bath_Rugby,Sale_Sharks,,,,,,,,,,,,,,,0.0,0.0,0.0
173,22.0,,Harlequins,Saracens,,,,,,,,,,,,,,,0.0,0.0,0.0
174,22.0,,Leicester_Tigers,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
175,23.0,,Wasps,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
176,23.0,,Worcester_Warriors,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
177,23.0,,Bath_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
178,23.0,,Bristol_Bears,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
179,23.0,,Northampton_Saints,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
180,23.0,,Saracens,Gloucester_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
181,24.0,,Worcester_Warriors,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
182,24.0,,Exeter_Chiefs,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
183,24.0,,Newcastle_Falcons,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
184,24.0,,Gloucester_Rugby,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
185,24.0,,London_Irish,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
186,24.0,,Sale_Sharks,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
187,25.0,,Saracens,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
188,25.0,,Harlequins,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
189,25.0,,Bristol_Bears,Bath_Rugby,,,,,,,,,,,,,,,0.0,0.0,0.0
190,25.0,,Sale_Sharks,Northampton_Saints,,,,,,,,,,,,,,,0.0,0.0,0.0
191,25.0,,Exeter_Chiefs,Leicester_Tigers,,,,,,,,,,,,,,,0.0,0.0,0.0
192,25.0,,London_Irish,Worcester_Warriors,,,,,,,,,,,,,,,0.0,0.0,0.0
193,26.0,,Newcastle_Falcons,Harlequins,,,,,,,,,,,,,,,0.0,0.0,0.0
194,26.0,,Gloucester_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
195,26.0,,Northampton_Saints,London_Irish,,,,,,,,,,,,,,,0.0,0.0,0.0
196,26.0,,Bath_Rugby,Sale_Sharks,,,,,,,,,,,,,,,0.0,0.0,0.0
197,26.0,,Harlequins,Saracens,,,,,,,,,,,,,,,0.0,0.0,0.0
198,26.0,,Leicester_Tigers,Newcastle_Falcons,,,,,,,,,,,,,,,0.0,0.0,0.0
199,27.0,,Wasps,Bristol_Bears,,,,,,,,,,,,,,,0.0,0.0,0.0
200,27.0,,Worcester_Warriors,Exeter_Chiefs,,,,,,,,,,,,,,,0.0,0.0,0.0
201,28.0,,Bath_Rugby,Wasps,,,,,,,,,,,,,,,0.0,0.0,0.0
202,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
203,,,,,,,,,,,,,,,,,,,,0.0,0.0
204,,,,,,,,,,,,,,,,,,,,0.0,0.0
